id	Code	Use
1321	Luxury-YY0965	0
1322	Luxury-HP0966	0
1323	Luxury-BR0967	0
1324	Luxury-KF0968	0
1325	Luxury-ND0969	0
1326	Luxury-WF0970	0
1327	Luxury-MF0971	0
1328	Luxury-VP0972	0
1329	Luxury-TG0973	0
1330	Luxury-GD0974	0
1331	Luxury-XM0975	0
1332	Luxury-NW0976	0
1333	Luxury-QC0977	0
1334	Luxury-SM0978	0
1335	Luxury-YV0979	0
1336	Luxury-VG0980	0
1337	Luxury-RI0981	0
1338	Luxury-EG0982	0
1339	Luxury-XR0983	0
1340	Luxury-SX0984	0
1341	Luxury-UV0985	0
1342	Luxury-WZ0986	0
1343	Luxury-XK0987	0
1344	Luxury-QG0988	0
1345	Luxury-QA0989	0
1346	Luxury-LF0990	0
1347	Luxury-LJ0991	0
1348	Luxury-MK0992	0
1349	Luxury-UN0993	0
1350	Luxury-YT0994	0
1351	Luxury-TN0995	0
1352	Luxury-FL0996	0
1353	Luxury-SN0997	0
1354	Luxury-CG0998	0
1355	Luxury-WT0999	0
